customer_id,email,phone,age,employment_type,monthly_income,account_age_months,credit_score,loan_amount,monthly_installment,previous_late_payments,avg_payment_delay_days,previous_defaults,days_past_due,current_outstanding,payment_frequency,payment_reliability_score,engagement_score,previous_reminder_response,amount_due,upcoming_installment_offset_days,risk_indicator_raw,risk_category,risk_category_pred,risk_score
CUSTOMER_0018,customer0018@example.com,+91-9000800017,46,Salaried,66263,32,627,20000,1000,1,3,0,2,10590,Monthly,79,76.0,Responded,925,13,0.1548,LOW,LOW,11.7
CUSTOMER_0019,customer0019@example.com,+91-9000100018,29,Self-Employed,45361,16,664,413885,48462,2,21,0,0,122890,Monthly,84,75.0,No Response,55331,-9,0.1316,LOW,LOW,17.4
CUSTOMER_0020,customer0020@example.com,+91-9000300019,31,Salaried,26072,12,650,97179,2934,2,4,0,9,27619,Monthly,87,47.0,No Response,3031,16,0.1532,LOW,LOW,11.3
CUSTOMER_0021,customer0021@example.com,+91-9000600020,24,Salaried,52078,7,664,229258,6902,3,1,0,6,83672,Monthly,75,66.0,Responded,7926,-3,0.0878,LOW,LOW,7.1
CUSTOMER_0022,customer0022@example.com,+91-9000000021,27,Salaried,46716,31,642,41673,1546,9,2,1,0,14710,Weekly,63,57.0,Responded,1563,-3,0.2243,AT-RISK,AT-RISK,40.5
CUSTOMER_0023,customer0023@example.com,+91-9000100022,21,Self-Employed,88062,8,695,166138,4917,3,5,1,15,93027,Bi-Weekly,88,75.0,Responded,5080,-2,0.1735,LOW,LOW,12.2
CUSTOMER_0024,customer0024@example.com,+91-9000800023,34,Salaried,61337,20,670,95830,3158,2,17,5,1,34725,Monthly,65,68.0,Responded,3052,-10,0.2554,AT-RISK,AT-RISK,28.7
CUSTOMER_0025,customer0025@example.com,+91-9000900024,48,Salaried,55448,27,745,20000,1000,2,0,0,49,4472,Bi-Weekly,72,50.0,No Response,1124,0,0.1638,LOW,LOW,35.1
CUSTOMER_0026,customer0026@example.com,+91-9000600025,38,Salaried,68024,42,692,125233,5423,1,0,1,21,64668,Bi-Weekly,85,56.0,No Response,5482,25,0.2075,AT-RISK,AT-RISK,25.0
CUSTOMER_0027,customer0027@example.com,+91-9000900026,47,Salaried,42472,18,722,161576,10642,3,16,2,41,107548,Monthly,72,53.0,Responded,11745,5,0.2979,HIGH,HIGH,57.8
CUSTOMER_0028,customer0028@example.com,+91-9000600027,44,Business Owner,47950,43,729,131647,10503,2,12,2,11,39763,Bi-Weekly,88,74.0,No Response,9662,28,0.2477,AT-RISK,AT-RISK,22.9
CUSTOMER_0029,customer0029@example.com,+91-9000500028,30,Salaried,82971,41,702,163887,10362,3,1,0,0,73936,Monthly,68,87.0,Responded,11367,0,0.1557,LOW,LOW,5.9
CUSTOMER_0030,customer0030@example.com,+91-9000200029,28,Business Owner,16321,12,664,135514,5452,2,2,1,5,10818,Monthly,74,50.0,No Response,5575,-11,0.078,LOW,LOW,7.9
CUSTOMER_0031,customer0031@example.com,+91-9000900030,28,Self-Employed,70557,44,687,147161,13163,0,4,0,0,51899,Monthly,75,68.0,No Response,11864,8,0.065,LOW,LOW,2.3
CUSTOMER_0032,customer0032@example.com,+91-9000200031,21,Self-Employed,45789,23,681,166919,12131,2,2,0,0,11493,Monthly,83,70.0,No Response,11604,27,0.0753,LOW,LOW,2.0
CUSTOMER_0033,customer0033@example.com,+91-9000100032,35,Self-Employed,39850,20,567,161941,8080,8,15,1,11,10319,Monthly,80,54.0,Responded,7663,-15,0.2562,AT-RISK,AT-RISK,46.6
CUSTOMER_0034,customer0034@example.com,+91-9000500033,21,Salaried,41885,25,807,119625,9207,1,0,0,0,43104,Monthly,95,83.0,Responded,10016,-6,0.0775,LOW,LOW,0.4
CUSTOMER_0035,customer0035@example.com,+91-9000300034,40,Salaried,54744,28,634,77142,3260,1,0,3,16,16319,Monthly,81,85.0,Responded,3322,27,0.2346,AT-RISK,AT-RISK,30.5
CUSTOMER_0036,customer0036@example.com,+91-9000400035,35,Self-Employed,46989,21,682,200016,5936,2,1,1,25,106637,Monthly,70,61.0,Responded,5579,19,0.2745,HIGH,HIGH,45.4
CUSTOMER_0037,customer0037@example.com,+91-9000200036,39,Salaried,37660,15,603,141381,4970,2,2,2,4,97625,Bi-Weekly,66,69.0,Responded,4792,15,0.1966,AT-RISK,AT-RISK,36.0
CUSTOMER_0038,customer0038@example.com,+91-9000500037,44,Self-Employed,25657,14,488,165124,6352,5,1,1,19,30368,Monthly,39,45.0,No Response,6517,-1,0.297,HIGH,HIGH,68.0
CUSTOMER_0039,customer0039@example.com,+91-9000200038,36,Salaried,12021,30,698,180288,7677,3,0,1,0,85661,Monthly,82,62.0,No Response,6946,-5,0.1368,LOW,LOW,7.6
CUSTOMER_0040,customer0040@example.com,+91-9000700039,49,Freelancer,36742,26,802,153618,7443,1,5,0,7,51177,Monthly,80,69.0,No Response,7487,-7,0.0673,LOW,LOW,2.8
CUSTOMER_0041,customer0041@example.com,+91-9000800040,40,Self-Employed,40956,36,693,90929,7840,4,0,0,2,9100,Monthly,75,83.0,Responded,8385,-14,0.1451,LOW,LOW,3.9
CUSTOMER_0042,customer0042@example.com,+91-9000300041,28,Salaried,53239,29,745,235410,7168,3,11,0,0,102649,Monthly,85,92.0,Responded,7379,28,0.1947,AT-RISK,LOW,16.2
CUSTOMER_0043,customer0043@example.com,+91-9000800042,32,Salaried,71507,26,614,74872,5564,5,4,3,11,41697,Monthly,60,74.0,No Response,5839,14,0.3208,HIGH,HIGH,59.3
CUSTOMER_0044,customer0044@example.com,+91-9000600043,21,Business Owner,40171,38,674,64241,7350,3,3,0,0,20174,Monthly,100,74.0,No Response,7215,0,0.1233,LOW,LOW,1.3
CUSTOMER_0045,customer0045@example.com,+91-9000200044,26,Business Owner,28650,47,668,202066,7089,2,1,0,29,129457,Monthly,75,64.0,Responded,6704,-15,0.1939,AT-RISK,AT-RISK,31.7
CUSTOMER_0046,customer0046@example.com,+91-9000600045,31,Salaried,33127,47,712,299782,26603,2,1,0,0,121067,Monthly,57,68.0,Responded,29328,-10,0.1528,LOW,LOW,15.6
CUSTOMER_0047,customer0047@example.com,+91-9000000046,39,Business Owner,53920,47,676,101345,5906,2,3,0,0,63890,Monthly,90,70.0,No Response,6652,-5,0.1358,LOW,LOW,2.2
CUSTOMER_0048,customer0048@example.com,+91-9000200047,28,Salaried,54805,38,674,202416,29556,6,6,1,31,85110,Bi-Weekly,75,78.0,Responded,30374,17,0.2603,AT-RISK,AT-RISK,43.5
CUSTOMER_0049,customer0049@example.com,+91-9000500048,23,Salaried,53814,52,595,72015,7121,6,13,0,43,10042,Monthly,70,59.0,Responded,6951,1,0.2964,HIGH,HIGH,62.9
CUSTOMER_0050,customer0050@example.com,+91-9000300049,21,Business Owner,69697,35,741,73022,6522,2,4,0,5,21917,Bi-Weekly,100,80.0,Responded,6703,18,0.0706,LOW,LOW,0.9
CUSTOMER_0051,customer0051@example.com,+91-9000600050,29,Business Owner,62347,31,643,259271,33970,4,8,1,8,45511,Monthly,81,72.0,Responded,38037,24,0.1775,LOW,LOW,23.2
CUSTOMER_0052,customer0052@example.com,+91-9000200051,52,Self-Employed,40353,57,659,193548,7531,7,4,0,12,91065,Monthly,62,67.0,Responded,8079,9,0.2669,HIGH,HIGH,49.3
CUSTOMER_0053,customer0053@example.com,+91-9000000052,37,Business Owner,88961,1,661,237505,7634,0,11,0,4,114860,Monthly,91,76.0,Responded,8509,6,0.1034,LOW,LOW,4.7
CUSTOMER_0054,customer0054@example.com,+91-9000800053,43,Salaried,43318,25,708,221818,12896,1,4,0,0,71080,Monthly,80,79.0,No Response,12665,10,0.1025,LOW,LOW,1.2
CUSTOMER_0055,customer0055@example.com,+91-9000500054,26,Business Owner,44162,42,617,20000,1000,2,41,3,14,2455,Monthly,69,57.0,No Response,1077,11,0.3119,HIGH,AT-RISK,46.1
CUSTOMER_0056,customer0056@example.com,+91-9000700055,21,Salaried,79402,43,748,54923,4429,0,5,0,0,16469,Monthly,90,68.0,No Response,4709,22,0.0349,LOW,LOW,1.3
CUSTOMER_0057,customer0057@example.com,+91-9000200056,24,Salaried,61415,64,724,165307,10487,4,0,2,0,14299,Monthly,74,96.0,Responded,10936,-7,0.1276,LOW,LOW,14.3
CUSTOMER_0058,customer0058@example.com,+91-9000700057,34,Salaried,12000,28,624,24694,2346,6,2,1,36,13065,Monthly,80,55.0,Responded,2421,21,0.2672,HIGH,HIGH,58.4
CUSTOMER_0059,customer0059@example.com,+91-9000100058,21,Salaried,47553,21,697,73605,2990,2,5,2,0,42092,Monthly,72,89.0,No Response,3102,-11,0.1805,LOW,LOW,10.9
CUSTOMER_0060,customer0060@example.com,+91-9000300059,25,Salaried,57569,21,615,297933,16021,3,11,0,49,235416,Monthly,78,64.0,No Response,17822,2,0.325,HIGH,HIGH,62.1
CUSTOMER_0061,customer0061@example.com,+91-9000200060,29,Salaried,23755,33,674,102334,4194,6,3,0,0,12513,Weekly,79,70.0,Responded,4735,6,0.0961,LOW,LOW,19.4
CUSTOMER_0062,customer0062@example.com,+91-9000900061,23,Salaried,57189,47,609,229385,7950,4,12,1,3,101497,Monthly,58,69.0,Responded,7379,-4,0.2553,AT-RISK,AT-RISK,44.9
CUSTOMER_0063,customer0063@example.com,+91-9000000062,21,Salaried,53327,49,626,158575,7088,4,2,0,10,69720,Monthly,67,76.0,Responded,7387,28,0.1644,LOW,AT-RISK,30.5
CUSTOMER_0064,customer0064@example.com,+91-9000600063,37,Self-Employed,67172,26,618,107568,4332,7,1,1,17,75336,Monthly,82,86.0,Responded,4893,6,0.2826,HIGH,HIGH,52.4
CUSTOMER_0065,customer0065@example.com,+91-9000900064,35,Salaried,37518,32,720,23214,1000,3,0,0,0,9199,Bi-Weekly,74,62.0,Responded,933,-10,0.1197,LOW,LOW,7.0
CUSTOMER_0066,customer0066@example.com,+91-9000100065,42,Salaried,63775,18,671,181889,12148,2,6,0,28,26507,Weekly,78,64.0,No Response,12187,20,0.1831,AT-RISK,AT-RISK,28.7
CUSTOMER_0067,customer0067@example.com,+91-9000300066,25,Self-Employed,52075,20,674,258680,15420,1,6,0,0,82093,Bi-Weekly,94,89.0,Responded,14221,11,0.1499,LOW,LOW,2.7
CUSTOMER_0068,customer0068@example.com,+91-9000800067,41,Business Owner,56242,34,483,143315,5205,5,5,1,83,100925,Monthly,37,49.0,No Response,4832,-1,0.4931,CRITICAL,CRITICAL,94.4
CUSTOMER_0069,customer0069@example.com,+91-9000500068,48,Business Owner,108631,51,732,145041,5959,1,3,0,0,64784,Monthly,82,83.0,No Response,6709,1,0.0644,LOW,LOW,2.4
CUSTOMER_0070,customer0070@example.com,+91-9000700069,37,Salaried,83268,18,705,33507,2950,0,0,2,8,18060,Monthly,86,95.0,Responded,2984,-13,0.1153,LOW,LOW,6.9
CUSTOMER_0071,customer0071@example.com,+91-9000100070,29,Self-Employed,52882,29,620,111402,6445,2,0,2,5,19737,Monthly,58,61.0,No Response,6910,-6,0.1855,AT-RISK,AT-RISK,35.9
CUSTOMER_0072,customer0072@example.com,+91-9000600071,36,Salaried,104237,26,797,151823,7577,2,3,0,0,81371,Bi-Weekly,100,54.0,No Response,7082,9,0.0611,LOW,LOW,2.0
CUSTOMER_0073,customer0073@example.com,+91-9000500072,29,Salaried,62835,40,724,196467,10573,4,2,1,4,14017,Monthly,89,71.0,Responded,9573,5,0.1551,LOW,LOW,9.3
CUSTOMER_0074,customer0074@example.com,+91-9000800073,27,Salaried,30445,22,699,197119,17369,2,6,0,0,136790,Monthly,66,94.0,Responded,19498,24,0.1036,LOW,LOW,12.3
CUSTOMER_0075,customer0075@example.com,+91-9000600074,41,Business Owner,47392,1,729,20000,1000,8,10,0,23,12066,Monthly,71,74.0,Responded,1043,-7,0.2852,HIGH,HIGH,46.1
CUSTOMER_0076,customer0076@example.com,+91-9000000075,33,Salaried,69295,44,769,102928,3565,1,5,0,0,40768,Bi-Weekly,91,71.0,No Response,3226,8,0.0613,LOW,LOW,1.1
CUSTOMER_0077,customer0077@example.com,+91-9000700076,45,Salaried,56359,21,538,90686,4436,2,1,2,2,56396,Monthly,52,75.0,Responded,5092,16,0.2564,AT-RISK,AT-RISK,41.0
CUSTOMER_0078,customer0078@example.com,+91-9000900077,31,Salaried,22055,22,583,155974,5907,5,6,1,35,17070,Monthly,45,65.0,Responded,6043,-13,0.2649,HIGH,HIGH,64.5
CUSTOMER_0079,customer0079@example.com,+91-9000200078,31,Business Owner,26910,33,659,145574,4422,3,7,2,0,9710,Monthly,79,72.0,Responded,4505,17,0.1425,LOW,LOW,13.5
CUSTOMER_0080,customer0080@example.com,+91-9000100079,29,Self-Employed,44700,34,798,212642,21084,0,5,1,0,19803,Monthly,94,85.0,Responded,22248,27,0.0924,LOW,LOW,1.9
CUSTOMER_0081,customer0081@example.com,+91-9000200080,24,Salaried,65198,36,776,150396,11131,0,4,0,0,11824,Monthly,99,70.0,Responded,10039,29,0.0082,LOW,LOW,1.6
CUSTOMER_0082,customer0082@example.com,+91-9000500081,42,Self-Employed,63414,5,691,248015,11131,3,1,0,10,92523,Monthly,82,70.0,No Response,11601,-4,0.1161,LOW,LOW,8.8
CUSTOMER_0083,customer0083@example.com,+91-9000200082,54,Salaried,48619,34,675,104866,3498,5,1,2,0,20257,Monthly,69,66.0,No Response,3698,13,0.2394,AT-RISK,AT-RISK,34.0
CUSTOMER_0084,customer0084@example.com,+91-9000900083,31,Self-Employed,33543,1,718,42047,5932,0,4,3,2,23596,Weekly,83,88.0,Responded,5779,5,0.125,LOW,LOW,7.6
CUSTOMER_0085,customer0085@example.com,+91-9000400084,28,Salaried,88190,40,678,237787,6694,0,4,0,2,68883,Weekly,95,72.0,No Response,7240,23,0.0733,LOW,LOW,1.8
CUSTOMER_0086,customer0086@example.com,+91-9000500085,28,Business Owner,26316,42,686,195962,9974,2,2,0,24,103938,Monthly,62,66.0,No Response,9917,18,0.1664,LOW,LOW,22.0
CUSTOMER_0087,customer0087@example.com,+91-9000700086,28,Salaried,74476,8,682,94060,5606,1,0,0,22,42877,Bi-Weekly,73,90.0,Responded,6051,17,0.1577,LOW,LOW,10.2
CUSTOMER_0088,customer0088@example.com,+91-9000600087,49,Self-Employed,58613,31,694,200288,13549,2,9,0,20,54691,Monthly,67,95.0,Responded,12681,16,0.1726,LOW,LOW,14.9
CUSTOMER_0089,customer0089@example.com,+91-9000700088,28,Salaried,66378,40,622,240434,21408,6,2,4,15,54472,Weekly,64,52.0,Responded,24157,4,0.3692,CRITICAL,CRITICAL,79.3
CUSTOMER_0090,customer0090@example.com,+91-9000200089,29,Salaried,41059,21,760,154580,5196,6,0,1,0,38430,Bi-Weekly,81,76.0,No Response,5818,-13,0.1304,LOW,LOW,13.6
CUSTOMER_0091,customer0091@example.com,+91-9000300090,23,Salaried,45781,37,705,96163,2774,5,0,0,0,53432,Monthly,78,54.0,Responded,2601,-12,0.147,LOW,LOW,11.2
CUSTOMER_0092,customer0092@example.com,+91-9000500091,37,Salaried,51290,1,747,112936,6134,2,1,0,5,44745,Monthly,88,75.0,Responded,6959,1,0.0911,LOW,LOW,1.7
CUSTOMER_0093,customer0093@example.com,+91-9000600092,34,Salaried,38568,42,661,177376,5130,4,5,1,53,37069,Monthly,62,66.0,Responded,5332,1,0.2798,HIGH,HIGH,59.6
CUSTOMER_0094,customer0094@example.com,+91-9000800093,24,Business Owner,52799,28,701,166873,5433,2,2,1,10,95386,Bi-Weekly,65,86.0,Responded,5842,3,0.1411,LOW,LOW,11.1
CUSTOMER_0095,customer0095@example.com,+91-9000000094,26,Salaried,75121,23,595,258885,12670,4,0,0,0,20696,Monthly,66,53.0,No Response,14064,-12,0.145,LOW,LOW,26.2
CUSTOMER_0096,customer0096@example.com,+91-9000700095,48,Self-Employed,19938,38,588,154561,5894,2,0,0,11,94151,Monthly,67,42.0,No Response,5427,13,0.1562,LOW,LOW,28.3
CUSTOMER_0097,customer0097@example.com,+91-9000700096,35,Business Owner,32725,49,581,86858,4559,9,2,0,12,31978,Monthly,62,82.0,No Response,4296,1,0.3004,HIGH,HIGH,55.5
CUSTOMER_0098,customer0098@example.com,+91-9000500097,35,Self-Employed,35365,35,684,324477,14255,4,4,1,3,153045,Weekly,84,69.0,Responded,13864,6,0.223,AT-RISK,AT-RISK,28.6
CUSTOMER_0099,customer0099@example.com,+91-9000300098,35,Self-Employed,46069,49,650,167403,21624,3,0,3,10,109646,Weekly,77,73.0,Responded,22041,-14,0.2313,AT-RISK,AT-RISK,26.2
CUSTOMER_0100,customer0100@example.com,+91-9000200099,47,Self-Employed,46395,6,720,211647,7871,3,4,1,3,109329,Monthly,82,76.0,Responded,7764,26,0.1555,LOW,LOW,7.6
CUSTOMER_0101,customer0101@example.com,+91-9000200100,25,Salaried,63812,37,688,189818,25026,2,0,0,0,61331,Monthly,91,63.0,No Response,25688,-4,0.1076,LOW,LOW,1.6
CUSTOMER_0102,customer0102@example.com,+91-9000500101,31,Business Owner,42477,24,600,193948,6356,2,2,0,54,32274,Bi-Weekly,67,49.0,No Response,6015,29,0.2675,HIGH,HIGH,63.8
CUSTOMER_0103,customer0103@example.com,+91-9000700102,33,Salaried,58090,17,729,122742,3991,1,0,1,2,61480,Bi-Weekly,94,92.0,Responded,4272,-5,0.135,LOW,LOW,0.8
CUSTOMER_0104,customer0104@example.com,+91-9000600103,21,Self-Employed,56692,1,733,20000,1525,3,0,0,0,6670,Monthly,78,80.0,Responded,1393,24,0.087,LOW,LOW,4.7
CUSTOMER_0105,customer0105@example.com,+91-9000000104,26,Self-Employed,51612,35,669,73734,4693,4,7,0,1,6756,Monthly,86,68.0,No Response,4647,13,0.1327,LOW,LOW,9.4
CUSTOMER_0106,customer0106@example.com,+91-9000500105,44,Salaried,63545,40,714,171459,8388,1,3,0,18,83621,Monthly,81,72.0,Responded,7924,4,0.0768,LOW,LOW,10.3
CUSTOMER_0107,customer0107@example.com,+91-9000600106,41,Salaried,48267,47,701,20000,1000,2,7,0,11,4221,Monthly,68,80.0,Responded,1082,-11,0.091,LOW,LOW,9.2
CUSTOMER_0108,customer0108@example.com,+91-9000600107,43,Salaried,77424,43,705,164349,11240,3,0,1,3,12214,Monthly,93,72.0,Responded,12599,9,0.1514,LOW,LOW,3.1
CUSTOMER_0109,customer0109@example.com,+91-9000800108,29,Business Owner,96338,16,722,205430,8640,5,0,3,0,131637,Monthly,76,85.0,Responded,7946,18,0.2174,AT-RISK,AT-RISK,29.7
CUSTOMER_0110,customer0110@example.com,+91-9000900109,30,Freelancer,62482,45,691,213438,14292,4,1,1,0,74708,Monthly,83,72.0,Responded,15667,-4,0.112,LOW,LOW,11.1
CUSTOMER_0111,customer0111@example.com,+91-9000400110,21,Salaried,57873,49,732,173701,22662,0,4,0,0,32608,Monthly,81,86.0,Responded,25470,12,0.0786,LOW,LOW,1.3
CUSTOMER_0112,customer0112@example.com,+91-9000000111,43,Self-Employed,54372,22,564,253163,41667,8,3,2,14,148905,Monthly,83,70.0,No Response,47645,18,0.3285,HIGH,HIGH,67.6
CUSTOMER_0113,customer0113@example.com,+91-9000100112,44,Freelancer,27468,28,667,269015,29776,0,2,1,4,162126,Monthly,73,82.0,Responded,31111,-10,0.1255,LOW,LOW,14.2
CUSTOMER_0114,customer0114@example.com,+91-9000300113,44,Salaried,39906,12,458,303123,10183,3,4,1,25,16034,Bi-Weekly,46,66.0,No Response,9998,3,0.2258,AT-RISK,AT-RISK,51.9
CUSTOMER_0115,customer0115@example.com,+91-9000400114,49,Salaried,29122,44,556,198085,5685,5,0,3,24,119708,Weekly,47,57.0,No Response,5574,-4,0.3152,HIGH,HIGH,67.8
CUSTOMER_0116,customer0116@example.com,+91-9000800115,38,Self-Employed,51033,6,618,163718,8704,6,24,0,0,105850,Monthly,65,52.0,No Response,8658,9,0.2265,AT-RISK,AT-RISK,40.1
CUSTOMER_0117,customer0117@example.com,+91-9000000116,49,Business Owner,31636,33,634,176440,8252,2,6,0,0,34861,Bi-Weekly,66,59.0,No Response,8690,-3,0.1182,LOW,LOW,17.5
CUSTOMER_0118,customer0118@example.com,+91-9000200117,33,Business Owner,36015,18,678,153418,14744,4,14,1,6,66984,Monthly,48,66.0,No Response,15076,1,0.2595,AT-RISK,AT-RISK,34.9
CUSTOMER_0119,customer0119@example.com,+91-9000400118,21,Salaried,12000,11,595,272190,12080,6,9,3,0,31357,Bi-Weekly,62,58.0,Responded,12845,-4,0.2855,HIGH,HIGH,65.7
CUSTOMER_0120,customer0120@example.com,+91-9000200119,42,Salaried,24593,1,644,205773,19901,3,4,0,0,115594,Monthly,73,95.0,Responded,18106,-13,0.1416,LOW,LOW,14.1
CUSTOMER_0121,customer0121@example.com,+91-9000300120,21,Salaried,51946,23,685,132225,5433,4,0,0,11,85772,Monthly,68,66.0,No Response,5033,8,0.162,LOW,LOW,15.7
CUSTOMER_0122,customer0122@example.com,+91-9000200121,36,Salaried,26220,9,507,306105,9003,8,10,3,35,42457,Monthly,42,43.0,No Response,10300,-8,0.3724,CRITICAL,CRITICAL,92.1
CUSTOMER_0123,customer0123@example.com,+91-9000300122,43,Salaried,66400,28,611,135852,11444,2,1,0,15,82305,Monthly,75,72.0,No Response,13147,20,0.1473,LOW,LOW,21.4
CUSTOMER_0124,customer0124@example.com,+91-9000000123,37,Business Owner,31538,54,747,74704,2581,2,2,1,7,37010,Monthly,74,95.0,Responded,2804,10,0.1507,LOW,LOW,5.7
CUSTOMER_0125,customer0125@example.com,+91-9000700124,55,Salaried,50291,28,601,173864,25930,2,8,1,18,54943,Monthly,70,50.0,Responded,24999,29,0.2112,AT-RISK,AT-RISK,42.0
CUSTOMER_0126,customer0126@example.com,+91-9000300125,21,Business Owner,31356,53,637,96934,5614,7,11,0,17,52584,Monthly,65,55.0,Responded,6390,-8,0.276,HIGH,HIGH,56.1
CUSTOMER_0127,customer0127@example.com,+91-9000600126,34,Salaried,61515,14,723,194796,20895,0,3,0,0,6271,Bi-Weekly,98,79.0,No Response,19921,16,0.0694,LOW,LOW,1.0
CUSTOMER_0128,customer0128@example.com,+91-9000100127,35,Self-Employed,18231,9,680,90372,5452,0,6,0,57,60724,Monthly,75,61.0,Responded,5903,16,0.1665,LOW,LOW,37.4
CUSTOMER_0129,customer0129@example.com,+91-9000100128,22,Salaried,40705,13,678,138279,12339,1,0,1,0,52590,Monthly,82,58.0,Responded,11460,-15,0.092,LOW,LOW,4.0
CUSTOMER_0130,customer0130@example.com,+91-9000500129,24,Salaried,26925,24,584,267734,15566,8,4,2,2,148985,Monthly,68,37.0,No Response,16534,-13,0.3496,CRITICAL,CRITICAL,80.0
CUSTOMER_0131,customer0131@example.com,+91-9000100130,27,Salaried,66236,66,655,96443,5205,5,0,0,0,44726,Bi-Weekly,73,75.0,Responded,5672,-15,0.155,LOW,LOW,16.8
CUSTOMER_0132,customer0132@example.com,+91-9000500131,25,Freelancer,59052,4,702,176343,11742,0,6,1,27,67992,Monthly,73,83.0,No Response,13091,-1,0.1699,LOW,LOW,19.5
CUSTOMER_0133,customer0133@example.com,+91-9000100132,34,Business Owner,21303,33,671,90838,3534,8,27,0,85,65772,Monthly,66,50.0,No Response,3829,4,0.4808,CRITICAL,CRITICAL,80.2
CUSTOMER_0134,customer0134@example.com,+91-9000300133,29,Salaried,46516,18,704,160647,4786,2,1,1,7,64922,Monthly,73,75.0,Responded,5412,-13,0.1248,LOW,LOW,4.8
CUSTOMER_0135,customer0135@example.com,+91-9000600134,37,Salaried,36874,26,752,170011,9435,0,0,2,0,89644,Monthly,84,83.0,Responded,9720,-1,0.0969,LOW,LOW,5.9
CUSTOMER_0136,customer0136@example.com,+91-9000700135,40,Freelancer,61073,9,624,164663,13989,7,5,1,9,78392,Monthly,55,50.0,Responded,14959,21,0.247,AT-RISK,AT-RISK,48.0
CUSTOMER_0137,customer0137@example.com,+91-9000200136,40,Salaried,70251,39,669,161785,11456,4,12,0,43,25760,Monthly,82,78.0,No Response,11368,5,0.2028,AT-RISK,AT-RISK,36.8
